row,col,x,y,land surface temperature,B2_blue,B3_green,B4_red,B5_NIR,B6_SWIR1,B7_SWIR2,B8_pan,B9_cirrus,NDVI,EVI,NDWI
1354,776,614385.0,3340065.0,322.9942932128906,0.32297945,0.32724974,0.37322858,0.86811554,0.62129605,0.3408991,0.11594628,0.0009780745,0.39867026,0.7341921,-0.45246902
1405,772,614265.0,3338535.0,321.9518127441406,0.24289666,0.20627737,0.17539081,0.71660763,0.3407821,0.16513428,0.08331416,0.001267051,0.60674644,1.4284239,-0.55297273
1279,1301,630135.0,3342315.0,319.8018798828125,0.2293838,0.18960564,0.15678868,0.70537615,0.31824115,0.12695506,0.09507328,0.0013559669,0.63629067,1.4815001,-0.5762916
1318,1278,629445.0,3341145.0,324.55975341796875,0.30121845,0.2908644,0.2955442,0.81827587,0.5163519,0.2718333,0.13115089,0.0014226538,0.46931428,0.98080647,-0.47551376
1298,1262,628965.0,3341745.0,324.46746826171875,0.3515846,0.38896438,0.43038043,0.8317887,0.56299376,0.36835384,0.14877847,0.0013115089,0.3180305,0.5646682,-0.36274686
1565,957,619815.0,3333735.0,322.0885314941406,0.29185888,0.27536264,0.27752706,0.84834343,0.4561777,0.2269854,0.11263417,0.0014671116,0.5070001,1.0773666,-0.5099027
1582,893,617895.0,3333225.0,321.0152893066406,0.24149272,0.22306608,0.19551387,0.77188754,0.3663259,0.1518749,0.09727395,0.0011336772,0.5957958,1.2709167,-0.55160505
1529,931,619035.0,3334815.0,325.7594909667969,0.30151096,0.28788105,0.30531326,0.7091199,0.3889449,0.2097482,0.13553,0.0010003034,0.39806136,0.78889,-0.422506
257,910,618405.0,3372975.0,322.1466369628906,0.4807466,0.4744289,0.5012791,0.5933538,0.60039306,0.63849425,0.19072452,0.0010447614,0.08411468,0.23124373,-0.111375585
337,907,618315.0,3370575.0,321.9962463378906,0.24260417,0.23207468,0.20393747,0.75375336,0.27159932,0.13182983,0.10334246,0.0010669903,0.57410586,1.1871516,-0.5291782
359,924,618825.0,3369915.0,322.0782775878906,0.27284727,0.23195767,0.214116,0.53316015,0.2636047,0.13982446,0.102786735,0.0011781352,0.42694274,1.0338413,-0.3936681
872,1208,627345.0,3354525.0,320.7896728515625,0.26717302,0.23652045,0.2336541,0.5752197,0.3169542,0.18038258,0.10365366,0.0013115089,0.42227307,0.8772971,-0.41725078
879,1261,628935.0,3354315.0,320.9503173828125,0.23394658,0.18785073,0.1498275,0.5883231,0.20791528,0.09365061,0.106454514,0.00128928,0.5940463,1.4961865,-0.5159571
336,1212,627465.0,3370605.0,325.5578308105469,0.4242382,0.45570973,0.50227356,0.80727834,0.50008965,0.37283862,0.23791662,0.0013337379,0.23290773,0.4651922,-0.27836257
348,1157,625815.0,3370245.0,323.97869873046875,0.45026952,0.47969362,0.54679,0.78697985,0.5065244,0.3727216,0.15175715,0.0014893407,0.18008344,0.3551636,-0.2425931
370,1165,626055.0,3369585.0,324.55291748046875,0.26647106,0.22868182,0.20826626,0.55141133,0.2378269,0.12422519,0.094384186,0.0011336772,0.4516983,1.0690197,-0.41370642
265,1601,639135.0,3372735.0,324.38885498046875,0.3170127,0.30262238,0.30958357,0.68063176,0.3320855,0.20311852,0.17285243,0.0015337986,0.37471464,0.79930216,-0.38444728
288,1655,640755.0,3372045.0,319.4600830078125,0.23090471,0.21897128,0.16714269,0.8875951,0.34019712,0.12761803,0.101719745,0.0013337379,0.68306303,1.554487,-0.60423285
